_id,公司名称,产品名称,产品类别,设计类型,产品特殊属性,承保方式,保险期间类型,产品交费方式,产品条款文字编码,产品销售状态,停止销售日期,PDF文件
5b531445f1ad32a783dfb999,国华人寿保险股份有限公司,国华附加长期住院津贴医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,国华人寿[2012]医疗保险008号,停售,2017-04-27,http://www.iachina.cn/IC/tkk/03/48e7478f-d3d6-43b0-8ecf-d5abeda7f8e8_TERMS.PDF
5b531445f1ad32a783dfb99a,工银安盛人寿保险有限公司,工银安盛人寿附加团体每日住院现金收入保障医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,工银安盛人寿〔2012〕医疗保险063号,停用,2013-06-30,http://www.iachina.cn/IC/tkk/03/504af062-7cf6-44c6-8c40-cdcd6d604fc7_TERMS.PDF
5b531445f1ad32a783dfb99b,恒安标准人寿保险有限公司,恒安标准附加住院津贴医疗保险,健康保险-非个人税收优惠型健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,恒安标准人寿[2009]医疗保险060号,停售,2017-05-05,http://www.iachina.cn/IC/tkk/03/dbedec3e-1ee2-46c2-868f-31eac9f6e020_TERMS.PDF
5b531445f1ad32a783dfb99c,恒安标准人寿保险有限公司,恒安标准附加意外伤害住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,恒安标准人寿[2009]医疗保险061号,在售, ,http://www.iachina.cn/IC/tkk/03/b35c7400-741e-42c5-958d-bb367bc171c3_TERMS.PDF
5b531445f1ad32a783dfb99d,恒安标准人寿保险有限公司,恒安标准附加健康是福长期医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,恒安标准人寿[2009]医疗保险062号,停售,2011-05-31,http://www.iachina.cn/IC/tkk/03/a88b2801-3e61-4fc7-9795-9418b602cc1a_TERMS.PDF
5b531445f1ad32a783dfb99e,国华人寿保险股份有限公司,国华附加华宝金安长期住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费,国华人寿[2010]医疗保险004号,在售, ,http://www.iachina.cn/IC/tkk/03/09e03e94-3512-4cae-844a-7dbea8d76a26_TERMS.PDF
5b531445f1ad32a783dfb99f,恒安标准人寿保险有限公司,恒安标准附加意外伤害住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,恒安标准人寿[2010]医疗保险055号,在售, ,http://www.iachina.cn/IC/tkk/03/834052ce-b6bf-46ea-a563-34c8d38924c4_TERMS.PDF
5b531445f1ad32a783dfb9a0,恒安标准人寿保险有限公司,恒安标准附加住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,恒安标准人寿[2009]医疗保险063号,停用,2011-01-05,http://www.iachina.cn/IC/tkk/03/5294f9c3-03cc-4847-bd39-74e15703bb8b_TERMS.PDF
5b531445f1ad32a783dfb9a1,恒安标准人寿保险有限公司,恒安标准附加住院津贴团体医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,团体,短期（一年及一年以下）,一次性交费,恒安标准人寿[2010]医疗保险054号,在售, ,http://www.iachina.cn/IC/tkk/03/9340be80-d480-4195-99b9-88bf6dd87c85_TERMS.PDF
5b531445f1ad32a783dfb9a2,恒安标准人寿保险有限公司,恒安标准个人意外伤害住院津贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,一次性交费,恒安标准人寿[2010]医疗保险019号,停用,2011-01-05,http://www.iachina.cn/IC/tkk/03/4b89e720-61c4-412e-99d1-88530a08966f_TERMS.PDF
5b531445f1ad32a783dfb9a4,恒安标准人寿保险有限公司,恒安标准附加长期医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,长期（超过一年或含有保证续保条款）,分期交费一次性交费兼有,恒安标准人寿[2011]医疗保险006号,在售, ,http://www.iachina.cn/IC/tkk/03/99295f61-0723-4732-9eea-26e837cd696c_TERMS.PDF
5b531445f1ad32a783dfb9a5,同方全球人寿保险有限公司,海康附加手术补贴医疗保险,健康保险-医疗保险-定额给付型医疗保险,传统型产品,无,个人,短期（一年及一年以下）,分期交费一次性交费兼有,海康人寿[2009]医疗保险048号,停用,2015-10-08,http://www.iachina.cn/IC/tkk/03/ead06ef4-6bbc-4adb-9909-21ea21ca9d0a_TERMS.PDF
